Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
114800043000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114803166000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
114823291000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114824667000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
114844792000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
114904917000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114905041000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
114925166000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114927541000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.220,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114927917000,0,0,0.140,6,0.120,5,0.000,0,0.000,0,0.000,0,0.220,6,0.240,5,0.000,0,0.000,0,0.000,0,0,0,
114948042000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.220,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114950541000,0,0,0.140,6,0.120,5,0.000,0,0.000,0,0.000,0,0.220,6,0.240,5,0.000,0,0.000,0,0.000,0,0,0,
115006791000,0,0,0.140,6,0.120,5,0.000,0,0.000,0,0.000,0,0.230,6,0.240,5,0.000,0,0.000,0,0.000,0,0,0,
115008543000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
115028668000,0,0,0.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
115031666000,0,0,0.140,6,0.130,5,0.000,0,0.000,0,0.000,0,0.230,6,0.250,5,0.000,0,0.000,0,0.000,0,0,0,
115041291000,0,0,0.150,5,0.140,6,0.130,5,0.000,0,0.000,0,0.220,5,0.230,6,0.250,5,0.000,0,0.000,0,0,0,
115051792000,0,0,0.150,5,0.140,6,0.000,0,0.000,0,0.000,0,0.220,5,0.230,6,0.000,0,0.000,0,0.000,0,0,0,
115051916000,0,0,0.150,5,0.140,6,0.130,5,0.000,0,0.000,0,0.220,5,0.230,6,0.250,5,0.000,0,0.000,0,0,0,
115111916000,0,0,0.150,5,0.140,6,0.000,0,0.000,0,0.000,0,0.220,5,0.230,6,0.000,0,0.000,0,0.000,0,0,0,
115112292000,0,0,0.150,5,0.140,6,0.130,5,0.000,0,0.000,0,0.220,5,0.230,6,0.250,5,0.000,0,0.000,0,0,0,
115132417000,0,0,0.150,5,0.140,6,0.000,0,0.000,0,0.000,0,0.220,5,0.230,6,0.000,0,0.000,0,0.000,0,0,0,
115133917000,0,0,0.150,5,0.140,6,0.130,5,0.000,0,0.000,0,0.220,5,0.230,6,0.250,5,0.000,0,0.000,0,0,0,
115153917000,0,0,0.150,5,0.140,6,0.000,0,0.000,0,0.000,0,0.220,5,0.230,6,0.000,0,0.000,0,0.000,0,0,0,
