Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
83005121000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83005000000
83005121000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
83010123000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,1,0,83010000000
83010123000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
83015121000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,1,0,83015000000
83015121000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
83020131000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,1,0,83020000000
83020131000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
83025141000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,0.000,0,0.000,0,0.000,0,0.000,0,1,0,83025000000
83025141000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83030151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83030000000
83030151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83035151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83035000000
83035151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83040151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83040000000
83040151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83045151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83045000000
83045151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83050151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83050000000
83050151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83055151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83055000000
83055151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83100151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83100000000
83100151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83105151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83105000000
83105151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83110151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83110000000
83110151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83115151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83115000000
83115151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83120151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83120000000
83120151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83125151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83125000000
83125151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83130151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83130000000
83130151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
83135151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,1,0,83135000000
83135151000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,88.000,2,99.000,1,0.000,0,0.000,0,0.000,0,0,0,
