Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95351028000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.510,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501523000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.510,6,0,0,0,0,0,0,0,0,0,0,
102507653000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.760,5,0,0,0,0,0,0,0,0,
102527700000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.510,6,0,0,0,0,0,0,0,0,0,0,
102528101000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.760,5,0,0,0,0,0,0,0,0,
102536232000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102548200000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102548317000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102608400000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102609473000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102629500000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102629617000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102649700000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102649828000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102709900000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102710025000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102730100000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102730152000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102750200000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102750253000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102810300000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102811395000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102831400000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102831462000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102851500000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102851526000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102911600000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102911645000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102931700000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102931727000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
102951800000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
102951914000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
103012000000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
103012131000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
103032200000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
103032209000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
103052300000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
103052351000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
103112400000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0,0,0,0,0,0,0,0,
103112507000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.510,6,0.520,5,0.760,5,0,0,0,0,0,0,
