Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95056167000,0,0,3.510,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95249166000,0,0,3.510,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95420917000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95502417000,0,0,3.570,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95952917000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100302167000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100459917000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100516042000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100623541000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100822043000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100826916000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100852916000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101146667000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101223416000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101355417000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101413292000,0,0,3.330,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101423667000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101441667000,0,0,3.330,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101510292000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101842541000,0,0,3.450,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101850792000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101902791000,0,0,3.390,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102035542000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102206541000,0,0,3.330,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102313792000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102315417000,0,0,3.330,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102322045000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102339042000,0,0,3.330,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102345416000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102431417000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102446666000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102501292000,0,0,3.380,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102519541000,0,0,3.270,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102538291000,0,0,3.440,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102612542000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102639916000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102652916000,0,0,3.270,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102728291000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102813416000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102927168000,0,0,3.270,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103132168000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103135041000,0,0,3.270,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103143042000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103155916000,0,0,3.440,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103304042000,0,0,3.320,5,0.000,0,0.000,0,0.000,0,0.000,0,4.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103600667000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103829418000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103837917000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,4.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103844541000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,4.000,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104214668000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,3.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104226416000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,3.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104316293000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,3.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104337916000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,3.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104503293000,0,0,3.260,5,0.000,0,0.000,0,0.000,0,0.000,0,3.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104508669000,0,0,3.090,5,0.000,0,0.000,0,0.000,0,0.000,0,3.930,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
