Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
83025006000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83025000000
83025006000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83030006000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83030000000
83030006000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83035006000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83035000000
83035006000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83040007000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83040000000
83040007000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83045008000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83045000000
83045008000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83050008000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83050000000
83050008000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83055009000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83055000000
83055009000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83100008000,0.000,0,32.000,3,0,0,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83100000000
83100008000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83105008000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83105000000
83105008000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83110008000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83110000000
83110008000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83115009000,0.000,0,117.000,10,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83115000000
83115009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83120008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83120000000
83120008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83125008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83125000000
83125008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83130008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83130000000
83130008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83135008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83135000000
83135008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83140008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83140000000
83140008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83145009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83145000000
83145009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83150008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83150000000
83150008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83155009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83155000000
83155009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83200009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83200000000
83200009000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83205008000,0.000,0,32.000,3,32.000,3,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83205000000
83205008000,0.000,0,32.000,3,1.800,26,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83210008000,0.000,0,32.000,3,1.800,26,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83210000000
83210008000,0.000,0,32.000,3,1.800,26,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,
83215009000,0.000,0,32.000,3,1.800,26,0,0,0,0,0,0,444.000,1,0,0,0,0,0,0,0,0,0,0,83215000000
