Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92309667000,0,0,1.520,6,0.000,0,0.000,0,0.000,0,0.000,0,1.740,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92323541000,0,0,1.490,6,0.000,0,0.000,0,0.000,0,0.000,0,1.710,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92453166000,0,0,1.520,6,0.000,0,0.000,0,0.000,0,0.000,0,1.740,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92454916000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92508291000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92510791000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92538917000,0,0,1.460,6,0.000,0,0.000,0,0.000,0,0.000,0,1.670,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92602541000,0,0,1.410,6,0.000,0,0.000,0,0.000,0,0.000,0,1.620,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92616792000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92942166000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93002167000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93202044000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93202292000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93213166000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93218041000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93235167000,0,0,1.470,6,0.000,0,0.000,0,0.000,0,0.000,0,1.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93239041000,0,0,1.440,6,0.000,0,0.000,0,0.000,0,0.000,0,1.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93318166000,0,0,1.440,11,0.000,0,0.000,0,0.000,0,0.000,0,1.650,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93324167000,0,0,1.470,6,1.440,5,0.000,0,0.000,0,0.000,0,1.650,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93324417000,0,0,1.470,6,1.460,5,1.440,5,0.000,0,0.000,0,1.650,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93334166000,0,0,1.470,6,1.460,5,1.430,5,0.000,0,0.000,0,1.640,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93334291000,0,0,1.470,6,1.450,5,1.430,5,0.000,0,0.000,0,1.640,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93354416000,0,0,1.470,6,1.450,5,1.430,5,0.000,0,0.000,0,1.640,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93414416000,0,0,1.470,6,1.430,5,0.000,0,0.000,0,0.000,0,1.640,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93414916000,0,0,1.470,6,1.450,5,1.430,5,0.000,0,0.000,0,1.640,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93420916000,0,0,1.450,5,1.440,6,1.430,5,0.000,0,0.000,0,1.640,5,1.650,6,1.660,5,0.000,0,0.000,0,0,0,
93421291000,0,0,1.440,6,1.430,5,0.000,0,0.000,0,0.000,0,1.640,5,1.650,6,0.000,0,0.000,0,0.000,0,0,0,
93517166000,0,0,1.470,6,1.430,5,0.000,0,0.000,0,0.000,0,1.640,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93517291000,0,0,1.470,6,1.450,5,1.400,5,0.000,0,0.000,0,1.610,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93517666000,0,0,1.470,6,1.440,5,1.400,5,0.000,0,0.000,0,1.610,5,1.650,5,1.690,6,0.000,0,0.000,0,0,0,
93520416000,0,0,1.440,11,1.400,5,0.000,0,0.000,0,0.000,0,1.610,5,1.650,11,0.000,0,0.000,0,0.000,0,0,0,
93520541000,0,0,1.440,11,1.420,5,0.000,0,0.000,0,0.000,0,1.630,5,1.650,11,0.000,0,0.000,0,0.000,0,0,0,
93521041000,0,0,1.440,6,1.420,5,0.000,0,0.000,0,0.000,0,1.630,5,1.650,6,0.000,0,0.000,0,0.000,0,0,0,
93521166000,0,0,1.440,6,1.430,5,1.420,5,0.000,0,0.000,0,1.630,5,1.640,5,1.650,6,0.000,0,0.000,0,0,0,
93527417000,0,0,1.470,6,1.430,5,1.420,5,0.000,0,0.000,0,1.630,5,1.640,5,1.690,6,0.000,0,0.000,0,0,0,
93527791000,0,0,1.470,6,1.440,5,1.430,5,0.000,0,0.000,0,1.640,5,1.650,5,1.690,6,0.000,0,0.000,0,0,0,
93527917000,0,0,1.470,6,1.440,5,0.000,0,0.000,0,0.000,0,1.650,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93528043000,0,0,1.470,6,1.460,5,1.440,5,0.000,0,0.000,0,1.650,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93545917000,0,0,1.460,11,1.440,5,0.000,0,0.000,0,0.000,0,1.650,5,1.670,11,0.000,0,0.000,0,0.000,0,0,0,
93546041000,0,0,1.460,6,1.440,5,0.000,0,0.000,0,0.000,0,1.650,5,1.670,6,0.000,0,0.000,0,0.000,0,0,0,
93546166000,0,0,1.460,6,1.450,5,1.440,5,0.000,0,0.000,0,1.650,5,1.660,5,1.670,6,0.000,0,0.000,0,0,0,
93553541000,0,0,1.470,6,1.450,5,1.440,5,0.000,0,0.000,0,1.650,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93553666000,0,0,1.470,6,1.460,5,1.440,5,0.000,0,0.000,0,1.650,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93613792000,0,0,1.470,6,1.440,5,0.000,0,0.000,0,0.000,0,1.650,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93613916000,0,0,1.470,6,1.460,5,1.440,5,0.000,0,0.000,0,1.650,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93621291000,0,0,1.470,6,1.460,5,1.450,5,0.000,0,0.000,0,1.660,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93633916000,0,0,1.470,6,1.450,5,0.000,0,0.000,0,0.000,0,1.660,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93634166000,0,0,1.470,6,1.460,5,1.450,5,0.000,0,0.000,0,1.660,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93654166000,0,0,1.470,6,1.450,5,0.000,0,0.000,0,0.000,0,1.660,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93654291000,0,0,1.470,6,1.460,5,1.450,5,0.000,0,0.000,0,1.660,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93709041000,0,0,1.460,5,1.450,5,1.440,6,0.000,0,0.000,0,1.650,6,1.660,5,1.670,5,0.000,0,0.000,0,0,0,
93709166000,0,0,1.450,5,1.440,6,0.000,0,0.000,0,0.000,0,1.650,6,1.660,5,0.000,0,0.000,0,0.000,0,0,0,
93715666000,0,0,1.470,6,1.450,5,0.000,0,0.000,0,0.000,0,1.660,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
93715791000,0,0,1.470,6,1.460,5,1.450,5,0.000,0,0.000,0,1.660,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93718916000,0,0,1.470,6,1.460,5,1.420,5,0.000,0,0.000,0,1.630,5,1.670,5,1.690,6,0.000,0,0.000,0,0,0,
93719041000,0,0,1.470,6,1.450,5,1.420,5,0.000,0,0.000,0,1.630,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93725291000,0,0,1.470,6,1.450,5,1.430,5,0.000,0,0.000,0,1.640,5,1.660,5,1.690,6,0.000,0,0.000,0,0,0,
93739042000,0,0,1.470,6,1.430,5,0.000,0,0.000,0,0.000,0,1.640,5,1.690,6,0.000,0,0.000,0,0.000,0,0,0,
