Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95629043000,0,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,1.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95801793000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101451667000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101452167000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103530791000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103812541000,0,0,1.160,5,0.000,0,0.000,0,0.000,0,0.000,0,1.330,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104213792000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104357667000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104359167000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110024918000,0,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,1.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110331541000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112049416000,0,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,1.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
124615666000,0,0,1.070,5,0.000,0,0.000,0,0.000,0,0.000,0,1.230,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
125434666000,0,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,1.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
125434916000,0,0,1.070,5,0.000,0,0.000,0,0.000,0,0.000,0,1.230,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
125436291000,0,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,1.250,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131330291000,0,0,1.140,5,0.000,0,0.000,0,0.000,0,0.000,0,1.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
132457166000,0,0,1.120,5,0.000,0,0.000,0,0.000,0,0.000,0,1.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
132655045000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
